"","genes","logFC","logCPM","F","PValue","FDR"
"MRPS12","MRPS12",1.68090964385042,4.04236087246931,1.67153063742599,0.196056304802374,0.94226151814353
"KCTD1","KCTD1",4.64145836424464,0.0110621984577425,1.66929650148186,0.196355448965349,0.94226151814353
"UHRF1","UHRF1",-4.25238513985023,0.541762495524122,1.66928348834553,0.1963571929511,0.94226151814353
"TSEN34","TSEN34",-4.40487611805888,0.368509844512601,1.66884512723471,0.196415951537808,0.94226151814353
"DEGS2","DEGS2",-4.35845958384929,0.340271699111501,1.66815921723261,0.196507933289268,0.94226151814353
"FAM222B","FAM222B",-3.58014199166176,2.14837941163349,1.66810952312385,0.196514599317947,0.94226151814353
"ZSCAN25","ZSCAN25",2.79378484962814,2.84144306224576,1.66738926128489,0.196611245878062,0.94226151814353
"WDFY1","WDFY1",-0.80888155923624,5.74392319758515,1.66729867029432,0.196623405549147,0.94226151814353
"TRAPPC2","TRAPPC2",1.61258199615999,4.12615224501231,1.66610150562656,0.196784179031445,0.94226151814353
"KIAA1755","KIAA1755",4.36176062635115,0.572952545402602,1.66597477257199,0.196801207688854,0.94226151814353
"BRPF3","BRPF3",2.13252376776727,3.49129942685588,1.66573494272778,0.196833437474735,0.94226151814353
"DUT","DUT",-2.53912198135546,3.08553090156846,1.66486864832127,0.196949906895421,0.94226151814353
"COX15","COX15",-0.759982949161836,5.93751596332643,1.66475178713244,0.196965624543013,0.94226151814353
"IFIT5","IFIT5",0.723404852709121,6.10168318212115,1.66412934400144,0.197049366946256,0.94226151814353
"SSB","SSB",0.592253526560787,6.9327220225902,1.66412692878968,0.197049691965861,0.94226151814353
"KIAA1456","KIAA1456",3.39681683924395,1.95469980422008,1.66352752474326,0.197130374332367,0.94226151814353
"APEX1","APEX1",-2.0064002590169,3.63804795859729,1.66290194104201,0.197214621893158,0.94226151814353
"NPR1","NPR1",2.9970883213906,2.6825184289187,1.66272801696359,0.197238051803055,0.94226151814353
"ZNF180","ZNF180",-2.73163476704871,2.8978575921108,1.66262454596536,0.197251992284643,0.94226151814353
"SLC16A3","SLC16A3",-0.712514287783818,6.15405663454881,1.66241484259739,0.197280248825708,0.94226151814353
"LOC101118752","LOC101118752",-0.555530774345595,7.27309900224622,1.66224013067808,0.197303794057509,0.94226151814353
"PREPL","PREPL",-0.639537108784834,6.55572117313553,1.6622201195995,0.197306491081394,0.94226151814353
